mean,stdev,bias,skew,,mean,bias equation,skew equation
35,26,-0.891132539,0.173932832,,,,
35,28,-0.940113254,0.145048697,,,,
35,30,-0.978011325,0.131469521,,,,
35,32,-0.991801133,0.113003816,,,,
35,34,-1.045180113,0.09895484,,,,
35,36,-1.034518011,0.08639948,,,,
35,38,-1.060451801,0.073322557,,,,
35,40,-1.07904518,0.064318998,,,,
40,2,-0.512904518,2.73347523,,,,
40,4,-0.457290452,1.651823777,,,,
40,6,-0.456729045,1.09350257,,,,
40,8,-0.459672905,0.799458712,,,,
40,10,-0.46096729,0.608728776,,,,
40,12,-0.447096729,0.506487596,,,,
40,14,-0.476709673,0.432932288,,,,
40,16,-0.496670967,0.359404389,,,,
40,18,-0.505667097,0.305629983,,,,
40,20,-0.49956671,0.271867252,,,,
40,22,-0.544956671,0.23125651,,,,
40,24,-0.562495667,0.205817207,,,,
40,26,-0.585249567,0.177687352,,,,
40,28,-0.633524957,0.158816672,,,,
40,30,-0.609352496,0.138920889,,,,
40,32,-0.62493525,0.11983277,,,,
40,34,-0.653493525,0.103291235,,,,
40,36,-0.712349352,0.09107049,,,,
40,38,-0.753234935,0.078105022,,,,
40,40,-0.787323494,0.066670958,,,,
45,2,-0.278732349,2.87540766,,,,
45,4,-0.224873235,1.712863922,,,,
45,6,-0.222487323,1.12334397,,,,
45,8,-0.222248732,0.819248405,,,,
45,10,-0.227224873,0.636669952,,,,
45,12,-0.219722487,0.529937895,,,,
45,14,-0.236972249,0.436667838,,,,
45,16,-0.237697225,0.377770522,,,,
45,18,-0.240769722,0.323913928,,,,
45,20,-0.250076972,0.277218522,,,,
45,22,-0.270007697,0.242472457,,,,
45,24,-0.26200077,0.210542673,,,,
45,26,-0.279200077,0.184829195,,,,
45,28,-0.289920008,0.166192506,,,,
45,30,-0.282992001,0.142941434,,,,
45,32,-0.3202992,0.12846678,,,,
45,34,-0.32602992,0.111542606,,,,
45,36,-0.357602992,0.094386112,,,,
45,38,-0.384760299,0.080590278,,,,
45,40,-0.43247603,0.0682117,,,,
50,2,-0.040247603,2.816967059,,,,
50,4,-0.00602476,1.714138453,,,,
50,6,0.000397524,1.133340756,,,,
50,8,-0.000960248,0.825871533,,,,
50,10,-0.001096025,0.658612534,,,,
50,12,-0.002109602,0.534531387,,,,
50,14,0.00378904,0.444902007,,,,
50,16,0.000378904,0.371166203,,,,
50,18,-0.00596211,0.322030155,,,,
50,20,-0.004596211,0.280855754,,,,
